type,entity_name,entity_number,CMS number,frn,location_id,address_primary,city,state,zip_code,longitude,latitude,explanation,need,availability
S,CENTRAL STATE UNIVERSITY,,,,1005375230,1400 BRUSH ROW RD,WILBERFORCE,OH,45384,-83.876795,39.716465,,,1000
S,CHATFIELD COLLEGE,,,,1002785741,20918 STATE ROUTE 251,SAINT MARTIN,OH,45118,-83.88715296,39.21036907,,,1000
S,CINCINNATI STATE TECHNICAL AND COMMUNITY COLLEGE,,,,1317587554,3520 CENTRAL PARKWAY,CINCINNATI,OH,45223,-84.53522865,39.15056931,,,1000
S,CLARK STATE COMMUNITY COLLEGE,,,,1314120426,570 E LEFFEL LN,SPRINGFIELD,OH,45501,-83.7997881,39.89641116,,,1000
S,CLEVELAND INSTITUTE OF MUSIC,,,,1365093177,11021 EAST BLVD,CLEVELAND,OH,44106,-81.608878,41.51244395,,,1000
S,CLEVELAND STATE UNIVERSITY,,,,1399361224,2121 EUCLID AVENUE,CLEVELAND,OH,44115,-81.67435526,41.50228136,,,1000
S,COLUMBUS COLLEGE OF ART AND DESIGN,,,,1398692690,60 CLEVELAND AVE.,COLUMBUS,OH,43215,-82.98987058,39.9647293,,,1000
S,COLUMBUS STATE COMMUNITY COLLEGE,,,,1320741847,550 E SPRING ST,COLUMBUS,OH,43215,-82.98765394,39.96997635,,,1000
S,CUYAHOGA COMMUNITY COLLEGE DISTRICT,,,,1364915807,700 CARNEGIE AVE,CLEVELAND,OH,44115,-81.66963962,41.49398066,,,1000
S,DENISON UNIVERSITY,,,,1005489051,100 WEST COLLEGE STREET,GRANVILLE,OH,43023,-82.5206251,40.0725823,,,1000
S,EASTERN GATEWAY COMMUNITY COLLEGE,,,,1004329808,110 JOHN SCOTT HIGHWAY,STEUBENVILLE,OH,43952,-80.67240784,40.37617549,,,1000
S,EDISON STATE COMMUNITY COLLEGE,,,,1003905600,1973 EDISON DR,PIQUA,OH,45356,-84.21238549,40.15769939,,,1000
S,FRANCISCAN UNIVERSITY OF STEUBENVILLE,,,,1004332460,1235 UNIVERSITY BLVD,STEUBENVILLE,OH,43952,-80.62309368,40.37608616,,,1000
S,FRANKLIN UNIVERSITY,,,,1320634858,201 S GRANT AVE,COLUMBUS,OH,43215,-82.99133909,39.95814461,,,1000
S,HEIDELBERG UNIVERSITY,,,,1298316809,310 E MARKET ST,TIFFIN,OH,44883,-83.16641898,41.11432669,,,1000
S,HOCKING COLLEGE,,,,1003141751,3301 HOCKING PARKWAY,NELSONVILLE,OH,45764,-82.22174939,39.44329788,,,1000
S,JOHN CARROLL UNIVERSITY,,,,1364865628,1 JOHN CARROLL BOULEVARD,UNIVERSITY HEIGHTS,OH,44118,-81.53295301,41.49004729,,,1000
S,KENT STATE UNIVERSITY AT ASHTABULA,,,,1311771201,3300 LAKE ROAD WEST,ASHTABULA,OH,44004,-80.83089988,41.88885549,,,1000
S,KENT STATE UNIVERSITY AT EAST LIVERPOOL,,,,1005420520,400 E 4TH ST,EAST LIVERPOOL,OH,43920,-80.57670154,40.61696575,,,1000
S,KENT STATE UNIVERSITY AT GEAUGA,,,,1004027339,14111 CLARIDON-TROY RD,BURTON,OH,44021,-81.14308537,41.48372735,,,1000
S,KENT STATE UNIVERSITY AT KENT,,,,,"EXECUTIVE OFFICE, 2ND FLOOR LIBRARY",KENT,OH,44242,-81.337128,41.151603,,,1000
S,KENT STATE UNIVERSITY AT SALEM,,,,1005474168,2491 STATE ROUTE 45 SOUTH,SALEM,OH,44460,-80.83545809,40.8640802,,,1000
S,KENT STATE UNIVERSITY AT STARK,,,,1007046744,6000 FRANK AVE NW,CANTON,OH,44720,-81.43731009,40.86856778,,,1000
S,KENT STATE UNIVERSITY AT TRUMBULL,,,,1356104308,4314 MAHONING AVE N.W.,WARREN,OH,44483,-80.83736292,41.27915252,,,1000
S,KENT STATE UNIVERSITY AT TUSCARAWAS,,,,1004749168,330 UNIVERSITY DR N.E.,NEW PHILADELPHIA,OH,44663,-81.40770671,40.46773586,,,1000
S,KENYON COLLEGE,,,,,KENYON COLLEGE,GAMBIER,OH,43022,-82.396215,40.376828,,,1000
S,LAKE ERIE COLLEGE,,,,1006030537,391 W WASHINGTON ST,PAINESVILLE,OH,44077,-81.25181722,41.71784092,,,1000
S,LAKELAND COMMUNITY COLLEGE,,,,1006065616,7700 CLOCKTOWER DRIVE,KIRTLAND,OH,44094,-81.36454484,41.63846247,,,1000
S,LORAIN COUNTY COMMUNITY COLLEGE,,,,1350249420,1005 NORTH ABBE RD,ELYRIA,OH,44035,-82.07293777,41.41227311,,,1000
S,LOURDES UNIVERSITY,,,,1398714103,6832 CONVENT BLVD,SYLVANIA,OH,43560,-83.70664904,41.70869428,,,1000
S,MALONE UNIVERSITY,,,,1007108867,2600 CLEVELAND AVENUE NW,CANTON,OH,44709,-81.37786147,40.82539782,,,1000
S,MARIETTA COLLEGE,,,,,IRVINE BLDG,MARIETTA,OH,45750,-81.450038,39.417638,,,1000
S,MARION TECHNICAL COLLEGE,,,,1294527029,1467 MOUNT VERNON AVE,MARION,OH,43302,-83.08915622,40.57701727,,,1000
S,METHODIST THEOLOGICAL SCHOOL IN OHIO,,,,1005835561,3081 COLUMBUS PIKE,DELAWARE,OH,43015,-83.06014649,40.25364283,,,1000
S,MIAMI UNIVERSITY-HAMILTON,,,,1009814541,1601 UNIVERSITY BLVD,HAMILTON,OH,45011,-84.56338495,39.37744845,,,1000
S,MIAMI UNIVERSITY-MIDDLETOWN,,,,1009867741,4200 E UNIVERSITY BLVD,MIDDLETOWN,OH,45042,-84.35724,39.523776,,,1000
S,MIAMI UNIVERSITY-OXFORD,,,,1009855124,501 EAST HIGH ST,OXFORD,OH,45056,-84.73182112,39.50964156,,,1000
S,MOUNT SAINT JOSEPH UNIVERSITY,,,,1317615214,5701 DELHI RD,CINCINNATI,OH,45233,-84.6401427,39.09451933,,,1000
S,MOUNT VERNON NAZARENE UNIVERSITY,,,,1003179908,800 MARTINSBURG RD,MOUNT VERNON,OH,43050,-82.4746667,40.37385861,,,1000
S,MUSKINGUM UNIVERSITY,,,,1004454771,10 COLLEGE DRIVE,NEW CONCORD,OH,43762,-81.73719214,39.99663516,,,1000
S,NATIONAL BEAUTY COLLEGE,,,,1007111343,4642 CLEVELAND AVE NW,CANTON,OH,44709,-81.39227792,40.84949317,,,1000
S,NORTHCOAST MEDICAL TRAINING ACADEMY,,,,1005594507,1832 STATE ROUTE 59,KENT,OH,44240,-81.32622611,41.15413942,,,1000
S,NORTHERN INSTITUTE OF COSMETOLOGY,,,,1350220368,669 BROADWAY,LORAIN,OH,44052,-82.17428525,41.46520034,,,1000
S,NORTHWEST STATE COMMUNITY COLLEGE,,,,1288067400,22600 STATE ROUTE 34,ARCHBOLD,OH,43502,-84.29773311,41.45057143,,,1000
S,O C COLLINS CAREER CENTER,,,,1004044282,11627 STATE RTE 243,CHESAPEAKE,OH,45619,-82.47351637,38.49189777,,,1000
S,OHIO BUSINESS COLLEGE-SHEFFIELD,,,,1350266229,5095 WATERFORD DR.,SHEFFIELD VILLAGE,OH,44035,-82.07346406,41.42372459,,,1000
S,OHIO CHRISTIAN UNIVERSITY,,,,1001933150,1476 LANCASTER PIKE,CIRCLEVILLE,OH,43113,-82.90598625,39.61089457,,,1000
S,OHIO MEDICAL CAREER COLLEGE,,,,1335494474,"1133 S. EDWIN C MOSES BLVD, SUITE 110",DAYTON,OH,45417,-84.19581583,39.74233856,,,1000
S,OHIO STATE UNIVERSITY AGRICULTURAL TECHNICAL INSTITUTE,,,,1004137500,1328 DOVER RD,WOOSTER,OH,44691,-81.92293581,40.77519448,,,1000
S,OHIO STATE UNIVERSITY-LIMA CAMPUS,,,,1003779023,4240 CAMPUS DR,LIMA,OH,45804,-84.02619462,40.73782809,,,1000
S,OHIO STATE UNIVERSITY-MAIN CAMPUS,,,,1320806246,190 N. OVAL MALL,COLUMBUS,OH,43210,-83.00879179,39.99949343,,,1000
S,OHIO STATE UNIVERSITY-MANSFIELD CAMPUS,,,,1313626186,1760 UNIVERSITY DRIVE,MANSFIELD,OH,44906,-82.57864306,40.79683942,,,1000
S,OHIO STATE UNIVERSITY-MARION CAMPUS,,,,1294527029,1461 MOUNT VERNON AVE,MARION,OH,43302,-83.08949975,40.57930813,,,1000
S,OHIO TECHNICAL COLLEGE,,,,1365248072,1374 E 51ST ST,CLEVELAND,OH,44103,-81.65737362,41.51880514,,,1000
S,OHIO UNIVERSITY-CHILLICOTHE CAMPUS,,,,1003333080,101 UNIVERSITY DRIVE,CHILLICOTHE,OH,45601,-83.00531926,39.32817356,,,1000
S,OHIO UNIVERSITY-EASTERN CAMPUS,,,,1316023771,45425 NATIONAL RD W,SAINT CLAIRSVILLE,OH,43950,-80.97578235,40.07341638,,,1000
S,OHIO UNIVERSITY-LANCASTER CAMPUS,,,,1312716176,1570 GRANVILLE PIKE,LANCASTER,OH,43130,-82.5860694,39.73875249,,,1000
S,OHIO UNIVERSITY-MAIN CAMPUS,,,,,020 CHUBB HALL,ATHENS,OH,45701,-82.103503,39.323839,,,1000
S,OHIO UNIVERSITY-SOUTHERN CAMPUS,,,,1004057028,1804 LIBERTY AVE,IRONTON,OH,45638,-82.6668764,38.52478137,,,1000
S,OHIO VALLEY COLLEGE OF TECHNOLOGY,,,,1005427426,15258 STATE ROUTE 170,EAST LIVERPOOL,OH,43920,-80.572194,40.679586,,,1000
S,ORION INSTITUTE,,,,1314818255,340 THREE MEADOWS DRIVE,PERRYSBURG,OH,43551,-83.59872206,41.55614629,,,1000
S,OTTERBEIN UNIVERSITY,,,,1320683488,1 SOUTH GROVE STREET,WESTERVILLE,OH,43081,-82.936347,40.125368,,,1000
S,PIONEER CAREER AND TECHNOLOGY CENTER,17008827,,12947347,1313607283,27 RYAN RD,SHELBY,OH,44875,-82.66681623,40.90187482,,,1000
S,SCIOTO COUNTY CAREER TECHNICAL CENTER,,,,1004165956,951 VERN RIFFE DRIVE,LUCASVILLE,OH,45648,-82.9794809,38.85470657,,,1000
S,SHAWNEE STATE UNIVERSITY,,,,1004176220,940 SECOND ST,PORTSMOUTH,OH,45662,-82.99535656,38.73090907,,,1000
S,SINCLAIR COMMUNITY COLLEGE,,,,1335301739,444 W. THIRD ST.,DAYTON,OH,45402,-84.20062817,39.75759849,,,1000
S,SOUTHERN STATE COMMUNITY COLLEGE,,,,1002443744,100 HOBART DRIVE,HILLSBORO,OH,45133,-83.61408511,39.23692387,,,1000
S,TDDS TECHNICAL INSTITUTE,,,,,"1688 NORTH PRICETOWN ROAD, SR 534 PO BOX 506",LAKE MILTON,OH,44429,-80.95778223,41.11528238,,,1000
S,TIFFIN ACADEMY OF HAIR DESIGN,,,,1298327804,104 E MARKET ST,TIFFIN,OH,44883,-83.17595146,41.11449575,,,1000
S,U S GRANT JOINT VOCATIONAL SCHOOL,,,,1309477494,718 WEST PLANE STREET,BETHEL,OH,45106,-84.09432473,38.96943505,,,1000
S,UNITED THEOLOGICAL SEMINARY,,,,1335404443,4501 DENLINGER RD.,DAYTON,OH,45426,-84.27691343,39.81346159,,,1000
S,UNIVERSITY OF AKRON MAIN CAMPUS,,,,1399186374,302 BUCHTEL COMMON,AKRON,OH,44325,-81.510328,41.077768,,,1000
S,UNIVERSITY OF CINCINNATI-CLERMONT COLLEGE,,,,1309466941,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,-84.19444149,39.08113896,,,1000
S,UNIVERSITY OF CINCINNATI-MAIN CAMPUS,,,,1317736515,2624 CLIFTON AVENUE,CINCINNATI,OH,45221,-84.5142802,39.13115854,,,1000
S,UNIVERSITY OF DAYTON,,,,1335410030,300 COLLEGE PARK,DAYTON,OH,45469,-84.17978875,39.74046444,,,1000
S,UNIVERSITY OF MOUNT UNION,,,,1007122696,1972 CLARK AVE.,ALLIANCE,OH,44601,-81.10845729,40.90471264,,,1000
S,UNIVERSITY OF NORTHWESTERN OHIO,,,,1003770028,1441 N CABLE RD,LIMA,OH,45805,-84.15042317,40.76004986,,,1000
S,UNIVERSITY OF RIO GRANDE,,,,1001414614,218 N COLLEGE AVE,RIO GRANDE,OH,45674,-82.37735902,38.8805796,,,1000
S,VANTAGE CAREER CENTER,,,,1000861113,818 NORTH FRANKLIN STREET,VAN WERT,OH,45891,-84.57284463,40.88021348,,,1000
S,WASHINGTON COUNTY CAREER CENTER-ADULT TECHNICAL TRAINING,50780,,11932100,1004679233,21740 STATE ROUTE 676,MARIETTA,OH,45750,-81.50144045,39.43234526,,,1000
S,WAYNE COUNTY SCHOOLS CAREER CENTER,49003,,6229629,1004130107,518 W PROSPECT ST,SMITHVILLE,OH,44677,-81.86892686,40.86378144,,,1000
S,WILBERFORCE UNIVERSITY,,,,1005384238,1055 N BICKETT RD,WILBERFORCE,OH,45384,-83.879358,39.707993,,,1000
S,WINEBRENNER THEOLOGICAL SEMINARY,,,,1399505013,950 NORTH MAIN STREET - 2ND FLOOR,FINDLAY,OH,45840,-83.65057224,41.05245438,,,1000
S,WITTENBERG UNIVERSITY,,,,,WARD ST AT N WITTENBERG AVE,SPRINGFIELD,OH,45504,-83.8139109,39.93479432,,,1000
S,WRIGHT STATE UNIVERSITY-MAIN CAMPUS,,,,1005401304,3640 COLONEL GLENN HIGHWAY,DAYTON,OH,45435,-84.06488144,39.78063402,,,1000
S,XAVIER UNIVERSITY,,,,1317678400,3800 VICTORY PARKWAY,CINCINNATI,OH,45207,-84.47764751,39.14929137,,,1000
S,YOUNGSTOWN STATE UNIVERSITY,,,,1006492321,ONE UNIVERSITY PLAZA,YOUNGSTOWN,OH,44555,-80.6468878,41.10589398,,,1000
S,ZANE STATE COLLEGE,,,,1398913548,1555 NEWARK RD,ZANESVILLE,OH,43701,-82.03176879,39.96138723,,,1000
S,JAMES A RHODES STATE COLLEGE,,,,1003779023,4240 CAMPUS DR,LIMA,OH,45804,-84.02631883,40.73834728,,,1000
S,ADULT AND COMMUNITY EDUCATION-HUDSON,,,,1320590871,2323 LEXINGTON AVENUE,COLUMBUS,OH,43211,-82.98051769,40.01275772,,,1000
S,AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,,,,1005334091,2950 HOBSON WAY,WRIGHT-PATTERSON AFB,OH,45433,-84.08256415,39.7828821,,,1000
S,ALLEGHENY WESLEYAN COLLEGE,,,,1005469848,2161 WOODSDALE RD,SALEM,OH,44460,-80.86123177,40.86722019,,,
S,ALLIANCE CAREER CENTER,,,,1007117349,500 GLAMORGAN ST.,ALLIANCE,OH,44601,-81.11131032,40.91142017,,,1000
S,ALLSTATE HAIRSTYLING & BARBER COLLEGE,,,,1365104778,2546 LORAIN AVENUE,CLEVELAND,OH,44113,-81.70436088,41.48403023,,,1000
S,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,,,,1320555043,6685 DOUBLETREE AVE,COLUMBUS,OH,43229,-82.98873294,40.1024416,,,
S,ANTIOCH COLLEGE,,,,1005384885,1 MORGAN PL,YELLOW SPRINGS,OH,45387,-83.8880674,39.79981331,,,
S,ANTIOCH UNIVERSITY ONLINE,,,,1005385716,900 DAYTON STREET,YELLOW SPRINGS,OH,45387,-83.90860038,39.80342377,,,
S,APEX ACADEMY HAIR SKIN NAILS SCHOOL OF COSMETOLOGY,,,,1313668118,1788 WEST FOURTH STREET,ONTARIO,OH,44906,-82.57772934,40.771731,,,
S,APOLLO CAREER CENTER,130100,,13990890,1003780270,3325 SHAWNEE RD,LIMA,OH,45806,-84.14970988,40.69221984,,,1000
S,ASHLAND COUNTY-WEST HOLMES CAREER CENTER,49140,,,1002196491,1783 STATE ROUTE 60,ASHLAND,OH,44805,-82.26669458,40.80117289,,,
S,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS,129430,,,1311817990,1565 STATE ROUTE 167,JEFFERSON,OH,44047,-80.73450978,41.74586524,,,
S,ATA COLLEGE-CINCINNATI,,,,1317876326,"225 PICTORIA DRIVE, SUITE 200",CINCINNATI,OH,45246,-84.48142588,39.29668255,,,
S,ATHENA CAREER ACADEMY,,,,1398729807,5203 AIRPORT HWY,TOLEDO,OH,43615,-83.66533364,41.61463831,,,1000
S,ATHENAEUM OF OHIO,,,,1317760610,6616 BEECHMONT AVE,CINCINNATI,OH,45230,-84.37192663,39.082926,,,1000
S,AUBURN CAREER CENTER,,,,1006101520,8140 AUBURN RD,CONCORD TWP,OH,44077,-81.24379802,41.64923775,,,
S,AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,,,,1007095037,2600 6TH ST SW,CANTON,OH,44710,-81.40402513,40.79638998,,,1000
S,AVEDA FREDRIC'S INSTITUTE-CINCINNATI,,,,1009916802,7664 VOICE OF AMERICA CENTRE DRIVE,WEST CHESTER,OH,45069,-84.361091,39.35541,,,
S,AVEDA INSTITUTE-COLUMBUS,,,,1398681030,889 BETHEL ROAD,COLUMBUS,OH,43214,-83.043021,40.062719,,,1000
S,BOWLING GREEN STATE UNIVERSITY-FIRELANDS,,,,1298121916,ONE UNIVERSITY DRIVE,HURON,OH,44839,-82.59448927,41.39808015,,,1000
S,BRADFORD SCHOOL,,,,1320651710,2469 STELZER ROAD,COLUMBUS,OH,43219,-82.911808,40.02353776,,,
S,BROWN AVEDA INSTITUTE-MENTOR,,,,1006033145,8816 MENTOR AVE,MENTOR,OH,44060,-81.32431794,41.67200156,,,1000
S,BROWN AVEDA INSTITUTE-STRONGSVILLE,,,,1365042338,17901 SOUTHPARK CENTER - SPACE 160,STRONGSVILLE,OH,44136,-81.82586254,41.31200185,,,
S,BRYANT & STRATTON COLLEGE-PARMA,,,,1364911664,12955 SNOW RD,PARMA,OH,44130,-81.78175697,41.40460727,,,1000
S,BUCKEYE HILLS CAREER CENTER,130054,,3018389,,351 BUCKEYE HILLS ROAD,RIO GRANDE,OH,45674,-82.391574,38.893108,,,
S,BUCKEYE JOINT VOCATIONAL SCHOOL,48984,,,1400256345,545 UNIVERSITY DR NE,NEW PHILADELPHIA,OH,44663,-81.40195668,40.4705306,,,
S,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS,,,,1009885940,101 JERRY COUCH BOULEVARD,MONROE,OH,45050,-84.49281036,39.40893884,,,1000
S,CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,,,,1007062845,2800 13TH STREET S.W.,CANTON,OH,44710,-81.325174,40.826156,,,1000
S,CAREER AND TECHNOLOGY EDUCATION CENTERS OF LICKING COUNTY,45948,,14739221,1005529927,150 PRICE RD,NEWARK,OH,43055,-82.42917517,40.09997254,,,1000
S,CASAL AVEDA INSTITUTE,,,,1356116938,5555 YOUNGSTOWN WARREN RD UNIT 606,NILES,OH,44446,-80.7728116,41.10195952,,,1000
S,CENTRAL SCHOOL OF PRACTICAL NURSING,,,,,"4700 ROCKSIDE ROAD, SUMMIT I, SUITE 250",INDEPENDENCE,OH,44131,-81.6569813,41.39709021,,,
S,CHAMBERLAIN UNIVERSITY-OHIO,,,,1320738442,1350 ALUM CREEK DRIVE,COLUMBUS,OH,43209,-82.94049278,39.94044892,,,
S,CHOFFIN CAREER AND TECHNICAL CENTER,,,,1006485735,200 E WOOD ST.,YOUNGSTOWN,OH,44503,-80.64439314,41.10084658,,,
S,CINCINNATI COLLEGE OF MORTUARY SCIENCE,,,,1317789152,645 W NORTH BEND RD,CINCINNATI,OH,45224,-84.50560365,39.20657796,,,1000
S,CINCINNATI SCHOOL OF BARBERING & HAIR DESIGN,,,,1317523614,6500 COLERAIN AVENUE,CINCINNATI,OH,45239,-84.582933,39.206972,,,1000
S,CLEVELAND CLINIC HEALTH SYSTEM-SCHOOL OF DIAGNOSTIC IMAGING,,,,1365239875,18901 LAKESHORE BLVD,EUCLID,OH,44119,-81.5491765,41.59628662,,,1000
S,CLEVELAND INSTITUTE OF ART,,,,1364924430,11610 EUCLID AVENUE,CLEVELAND,OH,44106,-81.602595,41.510478,,,1000
S,COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,,,,1005459021,9364 ST RT 45,LISBON,OH,44432,-80.74814621,40.76772886,,,
S,COMMUNITY TECHNOLOGY LEARNING CENTER OF PORTAGE,,,,1005617328,243 S PROSPECT STREET,RAVENNA,OH,44266,-81.24110564,41.15606259,,,1000
S,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY-NORTH DAYTON,,,,1335355133,7535 POE AVENUE,DAYTON,OH,45414,-84.18840728,39.85599165,,,1000
S,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY-SOUTH DAYTON,,,,1335357975,568 MIAMISBURG-CENTRVILLE RD,DAYTON,OH,45459,-84.17417907,39.62701902,,,1000
S,CUYAHOGA VALLEY CAREER CENTER,,,,1364904744,8001 BRECKSVILLE ROAD,BRECKSVILLE,OH,44141,-81.62537473,41.34455483,,,1000
S,DAVIS COLLEGE,,,,1398706729,433 N. SUMMIT STREET STE. 202,TOLEDO,OH,43604,-83.62975306,41.69251345,,,1000
S,DAYTON BARBER COLLEGE,,,,1335437373,2741 C LYONS ROAD,MIAMISBURG,OH,45342,-84.22295436,39.62881108,,,
S,DAYTON SCHOOL OF MEDICAL MASSAGE,,,,1335417888,4457 FAR HILLS AVE,DAYTON,OH,45429,-84.16906885,39.68275656,,,1000
S,DAYTON SCHOOL OF MEDICAL MASSAGE - COLUMBUS SCHOOL OF MEDICAL MASSAGE,,,,1320739783,4936 BLAZER PARKWAY,DUBLIN,OH,43017,-83.12536072,40.0893494,,,
S,DEFIANCE COLLEGE,,,,1001607386,701 N CLINTON ST.,DEFIANCE,OH,43512,-84.3599151,41.29710002,,,
S,DENTAL ASSISTANT PRO LLC-COLUMBUS,,,,1320674284,191 WEST SHROCK ROAD,WESTERVILLE,OH,43081,-82.94200462,40.10017077,,,1000
S,DENTAL ASSISTANT PRO-LEBANON,,,,1307734658,767 COLUMBUS AVENUE,LEBANON,OH,45036,-84.19038463,39.44580267,,,1000
S,DEVRY UNIVERSITY-OHIO,,,,1320732682,"2 EASTON OVAL, STE 210",COLUMBUS,OH,43219,-82.9404928,39.94057138,,,
S,EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS,,,,1320784484,4300 AMALGAMATED PLACE,GROVEPORT,OH,43125,-82.88430456,39.88666971,,,
S,EHOVE CAREER CENTER,,,,1298114831,316 W MASON RD,MILAN,OH,44846,-82.63043947,41.33265537,,,1000
S,ELITE ACADEMY OF HAIR DESIGN,,,,1315995788,3200 GUERNSEY STREET,BELLAIRE,OH,43906,-80.74463318,40.0145999,,,
S,ELITE SCHOOL OF COSMETOLOGY,,,,1003048547,175 BENEDICT AVENUE,NORWALK,OH,44857,-82.60806748,41.23364427,,,1000
S,ELITE WELDING ACADEMY,,,,1004084456,1910 COUNTY ROAD ONE,SOUTH POINT,OH,45680,-82.59441507,38.44720524,,,
S,ELITE WELDING ACADEMY LLC,,,,1009927726,9740 NEAR DRIVE,CINCINNATI,OH,45246,-84.46864273,39.31441577,,,
S,EMPIRE BEAUTY SCHOOL-CINCINNATI,,,,1399232488,8419 COLERAIN AVE,CINCINNATI,OH,45239,-84.58438264,39.2203,,,1000
S,ETI TECHNICAL COLLEGE,,,,1356087428,2076 YOUNGSTOWN WARREN RD,NILES,OH,44446,-80.723177,41.186919,,,
S,FELBRY COLLEGE SCHOOL OF NURSING,,,,1320677707,6055 CLEVELAND AVENUE,COLUMBUS,OH,43231,-82.950621,40.09574,,,1000
S,FIRELANDS REGIONAL MEDICAL CENTER SCHOOL OF NURSING,,,,1298138920,1912 HAYES AVE,SANDUSKY,OH,44870,-82.71189043,41.43719045,,,1000
S,FORTIS COLLEGE-CENTERVILLE,,,,1335352652,555 E ALEX BELL RD,CENTERVILLE,OH,45459,-84.14604566,39.64436384,,,1000
S,FORTIS COLLEGE-CINCINNATI,,,,1317869048,11499 CHESTER ROAD STE 200,CINCINNATI,OH,45246,-84.44496867,39.28331197,,,1000
S,FORTIS COLLEGE-COLUMBUS,,,,1320931898,4151 EXECUTIVE PARKWAY STE 120,WESTERVILLE,OH,43081,-82.90018759,40.08306314,,,1000
S,FORTIS COLLEGE-CUYAHOGA FALLS,,,,1007667116,2545 BAILEY ROAD,CUYAHOGA FALLS,OH,44221,-81.47045679,41.14384325,,,1000
S,FOUR COUNTY CAREER CENTER,,,,1399916329,22-900 STATE RTE 34,ARCHBOLD,OH,43502,-84.3031147,41.45280838,,,1000
S,GALEN COLLEGE OF NURSING-CINCINNATI,,,,1317686379,100 E BUSINESS WAY STE 200,CINCINNATI,OH,45241,-84.365946,39.283693,,,
S,GERBERS AKRON BEAUTY SCHOOL,,,,1007547469,1915 WEST MARKET ST. SUITE 800,AKRON,OH,44313,-81.576144,41.113755,,,1000
S,GLOBAL TECH COLLEGE,,,,1007349006,4346 SECOR ROAD,TOLEDO,OH,43623,-83.622983,41.697492,,,1000
S,GLOBAL TECH COLLEGE,,,,1007349006,4346 SECOR ROAD,TOLEDO,OH,43623,-83.62295602,41.69750424,,,1000
S,GODS BIBLE SCHOOL AND COLLEGE,,,,1317654848,1810 YOUNG STREET,CINCINNATI,OH,45202,-84.50603941,39.11552177,,,1000
S,GOOD SAMARITAN COLLEGE OF NURSING AND HEALTH SCIENCE,,,,1317876094,375 DIXMYTH AVE,CINCINNATI,OH,45220,-84.52119562,39.1403476,,,1000
S,GREAT LAKES TRUCK DRIVING SCHOOL,,,,1350316052,27740 ROYALTON ROAD,COLUMBIA STATION,OH,44028,-81.968,41.314214,,,1000
S,GREAT OAKS CAREER CAMPUSES,,,,1317776616,303 SCARLET OAKS DR.,CINCINNATI,OH,45241,-84.41479229,39.29010014,,,
